t,ax,ay,az
4524.312000,1.037109,-0.021484,-0.028809
4524.323000,1.031006,-0.017090,-0.024170
4524.335000,1.032715,-0.019531,-0.033691
4524.346000,1.033203,-0.016846,-0.030273
4524.357000,1.037598,-0.018066,-0.033203
4524.368000,1.032715,-0.015625,-0.034424
4524.379000,1.037109,-0.020020,-0.033203
4524.391000,1.035156,-0.015137,-0.035400
4524.402000,1.030762,-0.015137,-0.029541
4524.413000,1.034424,-0.015869,-0.038330
4524.425000,1.038086,-0.018555,-0.030029
4524.469000,1.038086,-0.016357,-0.034424
4524.481000,1.035156,-0.011963,-0.036133
4524.493000,1.034424,-0.017822,-0.027100
4524.504000,1.034668,-0.020020,-0.035645
4524.515000,1.027100,-0.016113,-0.024658
4524.527000,1.033691,-0.018799,-0.031494
4524.538000,1.033691,-0.020020,-0.031494
4524.549000,1.034180,-0.022217,-0.030762
4524.561000,1.034912,-0.019531,-0.033447
4524.572000,1.035156,-0.019531,-0.036865
4524.583000,1.036865,-0.018555,-0.031006
4524.594000,1.029541,-0.016357,-0.034180
4524.605000,1.035889,-0.018555,-0.032227
4524.616000,1.032959,-0.020264,-0.036377
4524.628000,1.033447,-0.016113,-0.033936
4524.639000,1.028564,-0.019287,-0.026123
4524.650000,1.035400,-0.016602,-0.035400
4524.661000,1.042480,-0.017822,-0.028320
4524.673000,1.037598,-0.020020,-0.028809
4524.684000,1.037842,-0.013184,-0.029541
4524.702000,1.038330,-0.017578,-0.032959
4524.713000,1.031006,-0.021729,-0.030273
4524.724000,1.032715,-0.015869,-0.031250
4524.734000,1.033447,-0.011230,-0.028320
4524.745000,1.036865,-0.016846,-0.031982
4524.759000,1.027832,-0.017822,-0.033691
4524.771000,1.031982,-0.018799,-0.036377
4524.783000,1.031982,-0.023193,-0.029053
4524.794000,1.034424,-0.019043,-0.031494
4524.805000,1.030518,-0.019287,-0.035400
4524.817000,1.034424,-0.018799,-0.030273
4524.828000,1.033691,-0.015137,-0.033936
4524.840000,1.033936,-0.016602,-0.034180
4524.850000,1.039551,-0.014893,-0.039062
4524.861000,1.032715,-0.017822,-0.029541
4524.873000,1.029053,-0.014648,-0.035156
4524.884000,1.034424,-0.018799,-0.035889
4524.896000,1.033691,-0.017578,-0.031250
4524.906000,1.033447,-0.014893,-0.032227
4524.917000,1.033447,-0.013916,-0.030762
