t,gx,gy,gz
4466.155000,-3.038168,0.374046,-0.183206
4466.166000,-2.885496,0.236641,0.152672
4466.177000,-2.473282,1.404580,0.160305
4466.188000,-2.396947,-0.465649,0.175573
4466.199000,-2.305344,-2.580153,0.106870
4466.210000,-1.946565,-2.396947,0.511450
4466.221000,-1.702290,-1.770992,0.595420
4466.232000,-1.664122,-0.511450,0.801527
4466.243000,-2.290076,-0.236641,0.244275
4466.255000,-3.175573,0.648855,-0.465649
4466.266000,-3.404580,1.473282,-0.145038
4466.277000,-3.129771,2.320611,0.106870
4466.288000,-2.977099,1.427481,0.022901
4466.300000,-2.419847,-0.045802,0.099237
4466.311000,-2.419847,-1.236641,0.770992
4466.322000,-1.709924,-2.496183,0.633588
4466.333000,-1.656489,-2.793893,0.236641
4466.345000,-0.984733,-2.236641,0.610687
4466.356000,-1.839695,-0.954198,0.412214
4466.368000,-2.503817,0.129771,0.160305
4466.413000,-3.053435,1.511450,0.030534
4466.425000,-2.954198,-0.549618,0.106870
4466.436000,-2.083969,-1.381679,-0.045802
4466.447000,-1.969466,-1.923664,0.335878
4466.459000,-1.717557,-2.465649,0.938931
4466.470000,-1.763359,-2.809160,0.496183
4466.481000,-2.297710,-2.099237,0.030534
4466.491000,-2.832061,0.557252,-0.045802
4466.502000,-3.320611,1.328244,0.145038
