t,ax,ay,az
4537.669000,-0.964600,-0.002441,0.003418
4537.680000,-0.964844,-0.005615,0.010498
4537.690000,-0.963623,-0.008301,0.003418
4537.700000,-0.966309,-0.006836,0.008057
4537.710000,-0.965332,-0.009521,0.008057
4537.720000,-0.970459,-0.010010,0.009277
4537.730000,-0.965576,-0.009277,0.008301
4537.740000,-0.964600,-0.006836,0.002930
4537.750000,-0.961670,-0.010742,0.005615
4537.760000,-0.964844,-0.007568,0.006836
4537.770000,-0.965576,-0.007813,0.010254
4537.780000,-0.967285,-0.007080,0.001465
4537.790000,-0.965820,-0.005859,0.001221
4537.800000,-0.968018,-0.005615,0.002441
4537.810000,-0.963135,-0.003906,0.001709
4537.857000,-0.965820,-0.011230,0.004150
4537.869000,-0.964844,-0.009521,0.008301
4537.879000,-0.963135,-0.014404,0.005859
4537.890000,-0.967041,-0.010254,0.004395
4537.901000,-0.969727,-0.009766,0.006348
4537.911000,-0.966553,-0.006104,0.007813
4537.921000,-0.963379,-0.006592,-0.000244
4537.932000,-0.967285,-0.013428,0.001709
4537.943000,-0.969727,-0.006836,0.005127
4537.953000,-0.965088,-0.007080,-0.000488
4537.964000,-0.965332,-0.011230,0.007324
4537.974000,-0.966553,-0.008301,0.006592
4537.984000,-0.966064,-0.009521,0.002930
4537.995000,-0.967041,-0.008057,0.011230
4538.006000,-0.966064,-0.011963,0.007813
4538.016000,-0.966553,-0.010010,-0.000977
4538.027000,-0.965332,-0.007813,0.006836
4538.044000,-0.965088,-0.011230,0.004639
4538.055000,-0.968262,-0.006348,-0.001709
4538.066000,-0.965088,-0.010498,0.012451
4538.077000,-0.970703,-0.009521,-0.000488
4538.087000,-0.964355,-0.007813,0.006348
4538.097000,-0.960938,-0.007324,-0.006592
4538.107000,-0.967773,-0.008545,0.003662
4538.118000,-0.965820,-0.007813,0.003418
4538.131000,-0.964844,-0.007568,0.003906
4538.141000,-0.967041,-0.006592,0.008057
4538.151000,-0.962402,-0.003418,0.003418
4538.161000,-0.964844,-0.009521,0.003906
4538.171000,-0.968750,-0.017090,-0.003662
4538.182000,-0.967285,-0.007813,0.006348
4538.192000,-0.962158,-0.008545,0.006836
4538.202000,-0.966797,-0.010742,0.003418
4538.213000,-0.965820,-0.008545,0.000000
4538.223000,-0.970459,-0.007568,-0.002686
4538.233000,-0.969727,-0.005371,0.004395
4538.244000,-0.966309,-0.008057,0.000977
4538.254000,-0.963135,-0.004639,0.009277
4538.264000,-0.965576,-0.007080,0.007813
4538.275000,-0.964111,-0.007080,-0.001953
4538.285000,-0.965576,-0.010742,0.012207
4538.296000,-0.964111,-0.010254,0.007813
4538.307000,-0.965332,-0.012207,0.003662
4538.318000,-0.969727,-0.010986,0.008057
4538.328000,-0.964844,-0.011963,0.011475
4538.339000,-0.968018,-0.010010,0.001709
4538.350000,-0.965820,-0.007080,0.006836
4538.360000,-0.966309,-0.004883,0.007813
4538.370000,-0.965820,-0.007813,0.008301
4538.380000,-0.972900,-0.004150,0.007324
4538.392000,-0.965820,-0.007568,0.010498
4538.404000,-0.966553,-0.009277,0.004639
4538.414000,-0.964600,-0.005859,0.020508
4538.425000,-0.965820,-0.007568,0.013184
4538.436000,-0.963867,-0.007324,0.010986
4538.447000,-0.967285,-0.011963,0.012207
4538.458000,-0.966797,-0.005859,0.007813
4538.468000,-0.964111,-0.005615,0.006104
4538.479000,-0.969727,-0.004883,0.004395
4538.489000,-0.965332,-0.004395,0.002686
4538.499000,-0.967773,-0.005615,0.004395
4538.509000,-0.964355,-0.003418,0.000732
4538.519000,-0.969482,-0.006592,0.006104
4538.529000,-0.965576,-0.007568,0.006348
4538.539000,-0.964600,-0.008301,0.002930
4538.549000,-0.963867,-0.004883,0.007813
4538.559000,-0.968018,-0.008545,0.010010
4538.570000,-0.965332,-0.011719,0.010010
4538.581000,-0.964600,-0.010498,0.008789
4538.591000,-0.969727,-0.009521,0.003174
4538.601000,-0.967041,-0.006104,0.001465
4538.612000,-0.968994,-0.009277,0.002930
4538.622000,-0.965820,-0.009766,0.005127
4538.632000,-0.966064,-0.006348,0.006836
4538.642000,-0.963135,-0.006104,0.010010
4538.655000,-0.967285,-0.006592,0.007324
4538.666000,-0.968018,-0.005371,0.005859
4538.676000,-0.965332,-0.008057,-0.000732
