t,mx,my,mz
4576.599000,-21.364454,-0.362109,19.490626
4576.619000,-21.364454,-0.362109,19.490626
4576.639000,-21.726562,-0.724219,20.534768
4576.659000,-21.726562,-0.724219,20.534768
4576.679000,-21.726562,-0.724219,20.534768
4576.699000,-21.726562,-0.724219,20.534768
4576.719000,-21.726562,-0.724219,20.534768
4576.739000,-21.726562,-0.724219,20.534768
4576.758000,-22.269728,2.715820,20.360742
4576.777000,-22.269728,2.715820,20.360742
4576.797000,-22.269728,2.715820,20.360742
4576.816000,-22.269728,2.715820,20.360742
4576.835000,-22.269728,2.715820,20.360742
4576.855000,-22.269728,2.715820,20.360742
4576.874000,-22.269728,2.715820,20.360742
4576.893000,-21.183400,1.991602,19.664650
4576.913000,-21.183400,1.991602,19.664650
4576.933000,-21.183400,1.991602,19.664650
4576.953000,-21.183400,1.991602,19.664650
4576.974000,-21.183400,1.991602,19.664650
4577.017000,-22.812890,2.534766,20.186720
4577.037000,-22.812890,2.534766,20.186720
4577.057000,-22.812890,2.534766,20.186720
4577.077000,-22.812890,2.534766,20.186720
4577.098000,-22.812890,2.534766,20.186720
4577.118000,-22.812890,2.534766,20.186720
4577.138000,-22.812890,5.431640,20.882812
4577.158000,-22.812890,5.431640,20.882812
4577.178000,-22.812890,5.431640,20.882812
4577.198000,-22.812890,5.431640,20.882812
4577.218000,-22.812890,5.431640,20.882812
4577.238000,-22.812890,5.431640,20.882812
4577.257000,-22.812890,5.431640,20.882812
4577.276000,-23.537110,6.880078,20.186720
4577.295000,-23.537110,6.880078,20.186720
4577.315000,-23.537110,6.880078,20.186720
4577.334000,-23.537110,6.880078,20.186720
4577.353000,-23.537110,6.880078,20.186720
4577.374000,-23.537110,6.880078,20.186720
4577.394000,-23.899220,6.517969,21.230860
4577.414000,-23.899220,6.517969,21.230860
4577.435000,-23.899220,6.517969,21.230860
4577.455000,-23.899220,6.517969,21.230860
4577.476000,-23.899220,6.517969,21.230860
4577.497000,-23.899220,6.517969,21.230860
4577.517000,-24.442384,7.423242,18.968556
4577.537000,-24.442384,7.423242,18.968556
4577.557000,-24.442384,7.423242,18.968556
4577.577000,-24.442384,7.423242,18.968556
4577.597000,-24.442384,7.423242,18.968556
4577.617000,-24.442384,7.423242,18.968556
4577.637000,-21.726562,9.052734,19.490626
4577.657000,-21.726562,9.052734,19.490626
4577.678000,-21.726562,9.052734,19.490626
4577.698000,-21.726562,9.052734,19.490626
4577.718000,-21.726562,9.052734,19.490626
4577.737000,-21.726562,9.052734,19.490626
4577.756000,-21.726562,9.052734,19.490626
4577.775000,-24.442384,10.682227,20.012696
4577.794000,-24.442384,10.682227,20.012696
4577.813000,-24.442384,10.682227,20.012696
4577.832000,-24.442384,10.682227,20.012696
4577.851000,-24.442384,10.682227,20.012696
4577.870000,-24.442384,10.682227,20.012696
4577.890000,-24.623438,10.863281,20.882812
4577.910000,-24.623438,10.863281,20.882812
4577.930000,-24.623438,10.863281,20.882812
4577.950000,-24.623438,10.863281,20.882812
4577.970000,-24.623438,10.863281,20.882812
4577.990000,-24.623438,10.863281,20.882812
4578.011000,-24.623438,10.863281,20.882812
4578.031000,-23.175002,11.587501,18.794532
4578.050000,-23.175002,11.587501,18.794532
4578.069000,-23.175002,11.587501,18.794532
4578.088000,-23.175002,11.587501,18.794532
4578.107000,-23.175002,11.587501,18.794532
4578.126000,-23.175002,11.587501,18.794532
4578.145000,-22.812890,14.122266,20.534768
4578.164000,-22.812890,14.122266,20.534768
4578.183000,-22.812890,14.122266,20.534768
4578.203000,-22.812890,14.122266,20.534768
4578.223000,-22.812890,14.122266,20.534768
4578.243000,-22.812890,14.122266,20.534768
4578.263000,-22.812890,14.122266,20.534768
4578.283000,-24.080274,14.665430,19.316602
4578.303000,-24.080274,14.665430,19.316602
4578.323000,-24.080274,14.665430,19.316602
4578.343000,-24.080274,14.665430,19.316602
4578.362000,-24.080274,14.665430,19.316602
4578.381000,-24.080274,14.665430,19.316602
4578.400000,-23.175002,15.570704,19.838672
4578.420000,-23.175002,15.570704,19.838672
4578.439000,-23.175002,15.570704,19.838672
4578.458000,-23.175002,15.570704,19.838672
4578.477000,-23.175002,15.570704,19.838672
4578.496000,-23.175002,15.570704,19.838672
4578.516000,-23.175002,15.570704,19.838672
4578.536000,-23.537110,18.105468,20.186720
4578.556000,-23.537110,18.105468,20.186720
4578.576000,-23.537110,18.105468,20.186720
4578.596000,-23.537110,18.105468,20.186720
4578.616000,-23.537110,18.105468,20.186720
4578.636000,-23.537110,18.105468,20.186720
4578.656000,-23.718164,17.200196,20.708790
4578.675000,-23.718164,17.200196,20.708790
4578.694000,-23.718164,17.200196,20.708790
4578.713000,-23.718164,17.200196,20.708790
4578.732000,-23.718164,17.200196,20.708790
4578.751000,-23.718164,17.200196,20.708790
4578.771000,-23.718164,17.200196,20.708790
4578.790000,-23.356056,18.648634,19.316602
4578.810000,-23.356056,18.648634,19.316602
4578.829000,-23.356056,18.648634,19.316602
4578.849000,-23.356056,18.648634,19.316602
4578.870000,-23.356056,18.648634,19.316602
4578.890000,-23.356056,18.648634,19.316602
4578.938000,-23.175002,18.105468,20.186720
4578.957000,-23.175002,18.105468,20.186720
4578.976000,-23.175002,18.105468,20.186720
4578.996000,-23.175002,18.105468,20.186720
4579.016000,-23.175002,18.105468,20.186720
4579.036000,-23.356056,19.372852,20.012696
4579.056000,-23.356056,19.372852,20.012696
4579.076000,-23.356056,19.372852,20.012696
4579.096000,-23.356056,19.372852,20.012696
4579.116000,-23.356056,19.372852,20.012696
4579.136000,-23.356056,19.372852,20.012696
4579.156000,-22.450782,21.364454,20.882812
4579.175000,-22.450782,21.364454,20.882812
4579.194000,-22.450782,21.364454,20.882812
4579.213000,-22.450782,21.364454,20.882812
4579.232000,-22.450782,21.364454,20.882812
4579.252000,-22.450782,21.364454,20.882812
4579.271000,-22.450782,21.364454,20.882812
4579.290000,-21.183400,20.821290,20.708790
4579.310000,-21.183400,20.821290,20.708790
4579.330000,-21.183400,20.821290,20.708790
4579.350000,-21.183400,20.821290,20.708790
4579.370000,-21.183400,20.821290,20.708790
4579.390000,-21.183400,20.821290,20.708790
4579.411000,-20.459180,23.356056,21.752930
4579.431000,-20.459180,23.356056,21.752930
4579.451000,-20.459180,23.356056,21.752930
4579.471000,-20.459180,23.356056,21.752930
4579.491000,-20.459180,23.356056,21.752930
4579.511000,-20.459180,23.356056,21.752930
4579.531000,-20.459180,23.356056,21.752930
4579.550000,-21.545510,24.080274,20.360742
4579.569000,-21.545510,24.080274,20.360742
4579.588000,-21.545510,24.080274,20.360742
4579.607000,-21.545510,24.080274,20.360742
4579.626000,-21.545510,24.080274,20.360742
4579.646000,-21.545510,24.080274,20.360742
4579.665000,-19.010742,28.425586,20.360742
4579.684000,-19.010742,28.425586,20.360742
4579.703000,-19.010742,28.425586,20.360742
4579.723000,-19.010742,28.425586,20.360742
4579.743000,-19.010742,28.425586,20.360742
4579.763000,-19.010742,28.425586,20.360742
4579.783000,-19.010742,28.425586,20.360742
4579.804000,-18.467578,28.244532,19.142578
4579.824000,-18.467578,28.244532,19.142578
4579.844000,-18.467578,28.244532,19.142578
4579.864000,-18.467578,28.244532,19.142578
4579.883000,-18.467578,28.244532,19.142578
4579.903000,-18.467578,28.244532,19.142578
4579.922000,-18.467578,28.244532,18.794532
4579.941000,-18.467578,28.244532,18.794532
4579.960000,-18.467578,28.244532,18.794532
4579.979000,-18.467578,28.244532,18.794532
4579.999000,-18.467578,28.244532,18.794532
4580.018000,-18.467578,28.244532,18.794532
4580.038000,-18.467578,28.244532,18.794532
4580.058000,-18.105468,28.606642,18.794532
4580.078000,-18.105468,28.606642,18.794532
4580.098000,-18.105468,28.606642,18.794532
4580.118000,-18.105468,28.606642,18.794532
4580.138000,-18.105468,28.606642,18.794532
4580.159000,-18.105468,28.606642,18.794532
4580.179000,-16.838088,30.960352,18.272460
4580.199000,-16.838088,30.960352,18.272460
4580.219000,-16.838088,30.960352,18.272460
4580.240000,-16.838088,30.960352,18.272460
4580.260000,-16.838088,30.960352,18.272460
4580.279000,-16.838088,30.960352,18.272460
4580.298000,-16.475976,32.046680,18.272460
4580.317000,-16.475976,32.046680,18.272460
4580.336000,-16.475976,32.046680,18.272460
4580.355000,-16.475976,32.046680,18.272460
4580.374000,-16.475976,32.046680,18.272460
4580.393000,-16.475976,32.046680,18.272460
4580.413000,-16.475976,32.046680,18.272460
4580.433000,-15.751759,29.874026,17.576368
4580.453000,-15.751759,29.874026,17.576368
4580.473000,-15.751759,29.874026,17.576368
4580.493000,-15.751759,29.874026,17.576368
4580.513000,-15.751759,29.874026,17.576368
4580.533000,-15.751759,29.874026,17.576368
4580.553000,-15.389649,29.874026,16.880274
4580.574000,-15.389649,29.874026,16.880274
4580.595000,-15.389649,29.874026,16.880274
4580.615000,-15.389649,29.874026,16.880274
4580.635000,-15.389649,29.874026,16.880274
4580.654000,-15.389649,29.874026,16.880274
4580.673000,-13.398047,31.503518,17.054298
4580.692000,-13.398047,31.503518,17.054298
4580.711000,-13.398047,31.503518,17.054298
4580.730000,-13.398047,31.503518,17.054298
4580.749000,-13.398047,31.503518,17.054298
4580.768000,-13.398047,31.503518,17.054298
4580.787000,-13.398047,31.503518,17.054298
4580.835000,-13.760157,32.227736,17.402344
4580.854000,-13.760157,32.227736,17.402344
4580.873000,-13.760157,32.227736,17.402344
4580.892000,-13.760157,32.227736,17.402344
4580.913000,-13.760157,32.227736,17.402344
4580.934000,-13.216992,33.495116,15.488087
4580.954000,-13.216992,33.495116,15.488087
4580.974000,-13.216992,33.495116,15.488087
4580.994000,-13.216992,33.495116,15.488087
4581.014000,-13.216992,33.495116,15.488087
4581.034000,-13.216992,33.495116,15.488087
4581.054000,-9.233789,34.581448,14.095899
4581.075000,-9.233789,34.581448,14.095899
4581.095000,-9.233789,34.581448,14.095899
4581.115000,-9.233789,34.581448,14.095899
4581.135000,-9.233789,34.581448,14.095899
4581.155000,-9.233789,34.581448,14.095899
4581.174000,-9.233789,34.581448,14.095899
4581.193000,-8.690625,34.762500,12.529688
4581.213000,-8.690625,34.762500,12.529688
4581.232000,-8.690625,34.762500,12.529688
4581.251000,-8.690625,34.762500,12.529688
4581.270000,-8.690625,34.762500,12.529688
4581.290000,-8.690625,34.762500,12.529688
4581.309000,-7.242188,34.038284,13.921876
4581.328000,-7.242188,34.038284,13.921876
4581.349000,-7.242188,34.038284,13.921876
4581.370000,-7.242188,34.038284,13.921876
4581.390000,-7.242188,34.038284,13.921876
4581.410000,-7.242188,34.038284,13.921876
4581.431000,-8.147461,35.667776,10.963477
4581.451000,-8.147461,35.667776,10.963477
4581.471000,-8.147461,35.667776,10.963477
4581.492000,-8.147461,35.667776,10.963477
4581.512000,-8.147461,35.667776,10.963477
4581.532000,-8.147461,35.667776,10.963477
4581.552000,-8.147461,35.667776,10.963477
4581.572000,-5.793750,36.935156,11.833594
4581.591000,-5.793750,36.935156,11.833594
4581.610000,-5.793750,36.935156,11.833594
4581.629000,-5.793750,36.935156,11.833594
4581.648000,-5.793750,36.935156,11.833594
4581.667000,-5.793750,36.935156,11.833594
4581.686000,-4.888477,36.391996,8.875196
4581.706000,-4.888477,36.391996,8.875196
4581.726000,-4.888477,36.391996,8.875196
4581.746000,-4.888477,36.391996,8.875196
4581.767000,-4.888477,36.391996,8.875196
4581.787000,-4.888477,36.391996,8.875196
4581.807000,-4.888477,36.391996,8.875196
4581.827000,-4.345312,38.745704,12.181642
4581.847000,-4.345312,38.745704,12.181642
4581.867000,-4.345312,38.745704,12.181642
4581.887000,-4.345312,38.745704,12.181642
4581.907000,-4.345312,38.745704,12.181642
4581.927000,-4.345312,38.745704,12.181642
4581.946000,-3.258984,38.021484,13.573829
4581.965000,-3.258984,38.021484,13.573829
4581.984000,-3.258984,38.021484,13.573829
4582.003000,-3.258984,38.021484,13.573829
4582.023000,-3.258984,38.021484,13.573829
4582.042000,-3.258984,38.021484,13.573829
4582.061000,-3.258984,38.021484,13.573829
4582.080000,-3.258984,39.107816,13.573829
4582.100000,-3.258984,39.107816,13.573829
4582.120000,-3.258984,39.107816,13.573829
4582.140000,-3.258984,39.107816,13.573829
4582.161000,-3.258984,39.107816,13.573829
4582.181000,-3.258984,39.107816,13.573829
4582.201000,-3.258984,38.383596,14.617970
4582.222000,-3.258984,38.383596,14.617970
4582.242000,-3.258984,38.383596,14.617970
4582.262000,-3.258984,38.383596,14.617970
4582.282000,-3.258984,38.383596,14.617970
4582.303000,-3.258984,38.383596,14.617970
4582.323000,-0.724219,40.194140,11.833594
4582.344000,-0.724219,40.194140,11.833594
4582.364000,-0.724219,40.194140,11.833594
4582.383000,-0.724219,40.194140,11.833594
4582.403000,-0.724219,40.194140,11.833594
4582.422000,-0.724219,40.194140,11.833594
4582.441000,-0.724219,40.194140,11.833594
4582.460000,-0.724219,40.194140,11.833594
4582.479000,-0.724219,40.194140,11.833594
4582.498000,-0.724219,40.194140,11.833594
4582.519000,-0.724219,40.194140,11.833594
4582.539000,-0.724219,40.194140,11.833594
4582.559000,-0.724219,40.194140,11.833594
4582.579000,-2.896875,39.469924,10.093360
4582.599000,-2.896875,39.469924,10.093360
4582.619000,-2.896875,39.469924,10.093360
4582.639000,-2.896875,39.469924,10.093360
4582.659000,-2.896875,39.469924,10.093360
4582.679000,-2.896875,39.469924,10.093360
4582.699000,0.000000,36.935156,9.745313
4582.719000,0.000000,36.935156,9.745313
4582.739000,0.000000,36.935156,9.745313
4582.759000,0.000000,36.935156,9.745313
4582.804000,0.000000,36.935156,9.745313
4582.825000,0.181055,38.926756,9.919336
4582.845000,0.181055,38.926756,9.919336
4582.865000,0.181055,38.926756,9.919336
4582.886000,0.181055,38.926756,9.919336
4582.906000,0.181055,38.926756,9.919336
4582.925000,0.181055,38.926756,9.919336
4582.944000,0.181055,38.926756,9.919336
4582.963000,-1.086328,38.383596,8.353126
